hotspot_id,time_block,historical_violation_count,centroid_lat,centroid_lon,estimated_delay_minutes,resource_cost,confidence_score
0,Friday_0000,56,12.913781872485487,77.63011806976469,86.0,3,0.6818181818181818
0,Friday_0100,40,12.913781872485487,77.63011806976469,62.0,3,0.5
0,Friday_0200,53,12.913781872485487,77.63011806976469,81.5,3,0.5454545454545454
0,Friday_0300,25,12.913781872485487,77.63011806976469,39.5,3,0.36363636363636365
0,Friday_0400,82,12.913781872485487,77.63011806976469,125.0,3,0.5
0,Friday_0500,147,12.913781872485487,77.63011806976469,222.5,3,0.7727272727272727
0,Friday_0600,158,12.913781872485487,77.63011806976469,239.0,3,0.7272727272727273
0,Friday_0700,77,12.913781872485487,77.63011806976469,117.5,3,0.6363636363636364
0,Friday_0800,119,12.913781872485487,77.63011806976469,180.5,3,0.7727272727272727
0,Friday_0900,39,12.913781872485487,77.63011806976469,60.5,3,0.3181818181818182
0,Friday_1000,3,12.913781872485487,77.63011806976469,6.5,1,0.09090909090909091
0,Friday_1100,3,12.913781872485487,77.63011806976469,6.5,1,0.09090909090909091
0,Friday_1200,1,12.913781872485487,77.63011806976469,3.5,1,0.045454545454545456
0,Friday_1500,1,12.913781872485487,77.63011806976469,3.5,1,0.045454545454545456
0,Friday_1800,1,12.913781872485487,77.63011806976469,3.5,1,0.045454545454545456
0,Friday_1900,19,12.913781872485487,77.63011806976469,30.5,3,0.3181818181818182
0,Friday_2000,199,12.913781872485487,77.63011806976469,300.5,3,0.9545454545454546
0,Friday_2100,225,12.913781872485487,77.63011806976469,339.5,3,0.9090909090909091
0,Friday_2200,72,12.913781872485487,77.63011806976469,110.0,3,0.8181818181818182
0,Friday_2300,89,12.913781872485487,77.63011806976469,135.5,3,0.8636363636363636
0,Monday_0000,34,12.913781872485487,77.63011806976469,53.0,3,0.5
0,Monday_0100,62,12.913781872485487,77.63011806976469,95.0,3,0.45454545454545453
0,Monday_0200,29,12.913781872485487,77.63011806976469,45.5,3,0.36363636363636365
0,Monday_0300,55,12.913781872485487,77.63011806976469,84.5,3,0.5454545454545454
0,Monday_0400,84,12.913781872485487,77.63011806976469,128.0,3,0.5
0,Monday_0500,136,12.913781872485487,77.63011806976469,206.0,3,0.6818181818181818
0,Monday_0600,185,12.913781872485487,77.63011806976469,279.5,3,0.7272727272727273
0,Monday_0700,86,12.913781872485487,77.63011806976469,131.0,3,0.7727272727272727
0,Monday_0800,92,12.913781872485487,77.63011806976469,140.0,3,0.5909090909090909
0,Monday_0900,41,12.913781872485487,77.63011806976469,63.5,3,0.18181818181818182
0,Monday_1000,5,12.913781872485487,77.63011806976469,9.5,1,0.09090909090909091
